StartDate,FacilityLongName,numvisits
2009-01-01,Lions Gate Hospital,143
2009-01-02,Lions Gate Hospital,145
2009-01-03,Lions Gate Hospital,101
2009-01-04,Lions Gate Hospital,105
2009-01-05,Lions Gate Hospital,92
2009-01-06,Lions Gate Hospital,104
2009-01-07,Lions Gate Hospital,98
2009-01-08,Lions Gate Hospital,100
2009-01-09,Lions Gate Hospital,128
2009-01-10,Lions Gate Hospital,117
2009-01-11,Lions Gate Hospital,112
2009-01-12,Lions Gate Hospital,107
2009-01-13,Lions Gate Hospital,116
2009-01-14,Lions Gate Hospital,117
2009-01-15,Lions Gate Hospital,103
2009-01-16,Lions Gate Hospital,104
2009-01-17,Lions Gate Hospital,144
2009-01-18,Lions Gate Hospital,108
2009-01-19,Lions Gate Hospital,127
2009-01-20,Lions Gate Hospital,114
2009-01-21,Lions Gate Hospital,107
2009-01-22,Lions Gate Hospital,108
2009-01-23,Lions Gate Hospital,118
2009-01-24,Lions Gate Hospital,123
2009-01-25,Lions Gate Hospital,133
2009-01-26,Lions Gate Hospital,138
2009-01-27,Lions Gate Hospital,120
2009-01-28,Lions Gate Hospital,111
2009-01-29,Lions Gate Hospital,139
2009-01-30,Lions Gate Hospital,115
2009-01-31,Lions Gate Hospital,125
2009-02-01,Lions Gate Hospital,130
2009-02-02,Lions Gate Hospital,131
2009-02-03,Lions Gate Hospital,134
2009-02-04,Lions Gate Hospital,123
2009-02-05,Lions Gate Hospital,117
2009-02-06,Lions Gate Hospital,115
2009-02-07,Lions Gate Hospital,121
2009-02-08,Lions Gate Hospital,138
2009-02-09,Lions Gate Hospital,143
2009-02-10,Lions Gate Hospital,112
2009-02-11,Lions Gate Hospital,118
2009-02-12,Lions Gate Hospital,111
2009-02-13,Lions Gate Hospital,146
2009-02-14,Lions Gate Hospital,132
2009-02-15,Lions Gate Hospital,135
2009-02-16,Lions Gate Hospital,135
2009-02-17,Lions Gate Hospital,130
2009-02-18,Lions Gate Hospital,112
2009-02-19,Lions Gate Hospital,138
2009-02-20,Lions Gate Hospital,137
2009-02-21,Lions Gate Hospital,142
2009-02-22,Lions Gate Hospital,132
2009-02-23,Lions Gate Hospital,126
2009-02-24,Lions Gate Hospital,130
2009-02-25,Lions Gate Hospital,120
2009-02-26,Lions Gate Hospital,128
2009-02-27,Lions Gate Hospital,114
2009-02-28,Lions Gate Hospital,117
2009-03-01,Lions Gate Hospital,150
2009-03-02,Lions Gate Hospital,120
2009-03-03,Lions Gate Hospital,124
2009-03-04,Lions Gate Hospital,110
2009-03-05,Lions Gate Hospital,110
2009-03-06,Lions Gate Hospital,128
2009-03-07,Lions Gate Hospital,122
2009-03-08,Lions Gate Hospital,111
2009-03-09,Lions Gate Hospital,134
2009-03-10,Lions Gate Hospital,108
2009-03-11,Lions Gate Hospital,104
2009-03-12,Lions Gate Hospital,128
2009-03-13,Lions Gate Hospital,123
2009-03-14,Lions Gate Hospital,117
2009-03-15,Lions Gate Hospital,124
2009-03-16,Lions Gate Hospital,120
2009-03-17,Lions Gate Hospital,119
2009-03-18,Lions Gate Hospital,116
2009-03-19,Lions Gate Hospital,118
2009-03-20,Lions Gate Hospital,123
2009-03-21,Lions Gate Hospital,131
2009-03-22,Lions Gate Hospital,144
2009-03-23,Lions Gate Hospital,128
